Strike;IV;
33.683666;0.970740;
33.778207;0.970035;
33.873013;0.969329;
33.968086;0.968623;
34.063425;0.967917;
34.159032;0.967210;
34.254908;0.966503;
34.351052;0.965795;
34.447466;0.965087;
34.544151;0.964378;
34.641107;0.963670;
34.738336;0.962960;
34.835837;0.962250;
34.933612;0.961540;
35.031661;0.960829;
35.129986;0.960118;
35.228586;0.959407;
35.327464;0.958695;
35.426619;0.957983;
35.526052;0.957270;
35.625764;0.956557;
35.725756;0.955843;
35.826029;0.955129;
35.926583;0.954414;
36.027419;0.953699;
36.128538;0.952984;
36.229942;0.952268;
36.331630;0.951552;
36.433603;0.950835;
36.535862;0.950118;
36.638409;0.949401;
36.741243;0.948683;
36.844366;0.947964;
36.947778;0.947245;
37.051481;0.946526;
37.155474;0.945806;
37.259760;0.945086;
37.364338;0.944366;
37.469210;0.943645;
37.574376;0.942923;
37.679837;0.942201;
37.785595;0.941479;
37.891649;0.940756;
37.998001;0.940033;
38.104651;0.939309;
38.211601;0.938585;
38.318850;0.937861;
38.426401;0.937136;
38.534254;0.936410;
38.642409;0.935684;
38.750868;0.934958;
38.859632;0.934231;
38.968700;0.933504;
39.078075;0.932776;
39.187757;0.932048;
39.297747;0.931320;
39.408045;0.930591;
39.518653;0.929861;
39.629571;0.929131;
39.740801;0.928401;
39.852343;0.927670;
39.964198;0.926939;
40.076366;0.926207;
40.188850;0.925475;
40.301650;0.924743;
40.414766;0.924009;
40.528199;0.923276;
40.641951;0.922542;
40.756022;0.921808;
40.870414;0.921073;
40.985126;0.920337;
41.100160;0.919602;
41.215518;0.918865;
41.331199;0.918129;
41.447204;0.917392;
41.563536;0.916654;
41.680193;0.915916;
41.797179;0.915178;
41.914492;0.914439;
42.032135;0.913699;
42.150108;0.912959;
42.268412;0.912219;
42.387048;0.911478;
42.506018;0.910737;
42.625321;0.909995;
42.744959;0.909253;
42.864932;0.908511;
42.985243;0.907767;
43.105891;0.907024;
43.226878;0.906280;
43.348204;0.905535;
43.469871;0.904791;
43.591879;0.904045;
43.714230;0.903299;
43.836924;0.902553;
43.959963;0.901806;
44.083347;0.901059;
44.207077;0.900311;
44.331155;0.899563;
44.455581;0.898814;
44.580356;0.898065;
44.705481;0.897316;
44.830957;0.896566;
44.956786;0.895815;
45.082967;0.895064;
45.209503;0.894313;
45.336394;0.893561;
45.463642;0.892808;
45.591246;0.892056;
45.719209;0.891302;
45.847530;0.890548;
45.976212;0.889794;
46.105255;0.889039;
46.234660;0.888284;
46.364429;0.887529;
46.494561;0.886772;
46.625059;0.886016;
46.755923;0.885259;
46.887155;0.884501;
47.018755;0.883743;
47.150724;0.882985;
47.283063;0.882226;
47.415774;0.881466;
47.548858;0.880706;
47.682315;0.879946;
47.816146;0.879185;
47.950354;0.878424;
48.084937;0.877662;
48.219899;0.876899;
48.355240;0.876137;
48.490960;0.875373;
48.627061;0.874610;
48.763544;0.873846;
48.900411;0.873081;
49.037661;0.872316;
49.175297;0.871550;
49.313319;0.870784;
49.451728;0.870017;
49.590526;0.869250;
49.729714;0.868483;
49.869292;0.867715;
50.009261;0.866946;
50.149624;0.866177;
50.290381;0.865408;
50.431533;0.864638;
50.573080;0.863867;
50.715026;0.863096;
50.857369;0.862325;
51.000112;0.861553;
51.143256;0.860781;
51.286802;0.860008;
51.430750;0.859235;
51.575103;0.858461;
51.719860;0.857687;
