Strike;IV;
36.085027;1.314127;
36.186308;1.313218;
36.287873;1.312307;
36.389724;1.311396;
36.491860;1.310485;
36.594283;1.309573;
36.696993;1.308660;
36.799992;1.307747;
36.903280;1.306834;
37.006858;1.305920;
37.110726;1.305005;
37.214886;1.304090;
37.319338;1.303174;
37.424084;1.302258;
37.529123;1.301342;
37.634458;1.300424;
37.740087;1.299507;
37.846014;1.298588;
37.952238;1.297669;
38.058759;1.296750;
38.165580;1.295830;
38.272701;1.294910;
38.380122;1.293989;
38.487845;1.293067;
38.595870;1.292145;
38.704199;1.291222;
38.812831;1.290299;
38.921768;1.289376;
39.031011;1.288451;
39.140561;1.287527;
39.250418;1.286601;
39.360584;1.285676;
39.471058;1.284749;
39.581843;1.283822;
39.692939;1.282895;
39.804346;1.281967;
39.916067;1.281038;
40.028100;1.280109;
40.140449;1.279179;
40.253112;1.278249;
40.366092;1.277319;
40.479389;1.276387;
40.593004;1.275455;
40.706938;1.274523;
40.821191;1.273590;
40.935765;1.272657;
41.050661;1.271723;
41.165879;1.270788;
41.281421;1.269853;
41.397287;1.268917;
41.513478;1.267981;
41.629996;1.267044;
41.746840;1.266107;
41.864012;1.265169;
41.981513;1.264230;
42.099344;1.263291;
42.217506;1.262352;
42.335999;1.261412;
42.454825;1.260471;
42.573985;1.259530;
42.693479;1.258588;
42.813308;1.257646;
42.933473;1.256703;
43.053976;1.255759;
43.174817;1.254815;
43.295998;1.253870;
43.417518;1.252925;
43.539379;1.251980;
43.661583;1.251033;
43.784129;1.250086;
43.907020;1.249139;
44.030255;1.248191;
44.153836;1.247242;
44.277764;1.246293;
44.402040;1.245344;
44.526665;1.244393;
44.651640;1.243442;
44.776965;1.242491;
44.902642;1.241539;
45.028672;1.240586;
45.155055;1.239633;
45.281793;1.238680;
45.408887;1.237725;
45.536338;1.236771;
45.664146;1.235815;
45.792314;1.234859;
45.920840;1.233903;
46.049728;1.232945;
46.178977;1.231988;
46.308589;1.231029;
46.438565;1.230071;
46.568906;1.229111;
46.699613;1.228151;
46.830686;1.227190;
46.962127;1.226229;
47.093938;1.225268;
47.226118;1.224305;
47.358669;1.223342;
47.491592;1.222379;
47.624888;1.221415;
47.758559;1.220450;
47.892604;1.219485;
48.027026;1.218519;
48.161825;1.217553;
48.297003;1.216586;
48.432560;1.215618;
48.568497;1.214650;
48.704816;1.213681;
48.841517;1.212712;
48.978602;1.211742;
49.116072;1.210771;
49.253928;1.209800;
49.392171;1.208829;
49.530802;1.207856;
49.669821;1.206883;
49.809231;1.205910;
49.949033;1.204936;
50.089226;1.203961;
50.229813;1.202986;
50.370795;1.202010;
50.512173;1.201034;
50.653947;1.200057;
50.796119;1.199079;
50.938690;1.198101;
51.081662;1.197122;
51.225034;1.196143;
51.368809;1.195163;
51.512988;1.194182;
51.657571;1.193201;
51.802560;1.192219;
51.947956;1.191237;
52.093760;1.190254;
52.239974;1.189271;
52.386597;1.188286;
52.533633;1.187302;
52.681081;1.186316;
52.828942;1.185330;
52.977219;1.184344;
53.125912;1.183357;
53.275023;1.182369;
53.424551;1.181381;
53.574500;1.180392;
53.724869;1.179402;
53.875661;1.178412;
54.026875;1.177421;
54.178515;1.176430;
54.330579;1.175438;
54.483071;1.174445;
54.635990;1.173452;
54.789339;1.172458;
54.943118;1.171464;
55.097329;1.170469;
55.251972;1.169474;
55.407050;1.168477;
55.562563;1.167481;
55.718512;1.166483;
55.874899;1.165485;
56.031725;1.164487;
56.188991;1.163488;
56.346699;1.162488;
56.504849;1.161487;
56.663443;1.160486;
56.822483;1.159485;
56.981968;1.158482;
57.141901;1.157480;
57.302284;1.156476;
57.463116;1.155472;
57.624400;1.154467;
57.786136;1.153462;
57.948326;1.152456;
58.110972;1.151450;
58.274074;1.150443;
58.437634;1.149435;
58.601653;1.148427;
58.766132;1.147418;
58.931073;1.146408;
59.096477;1.145398;
59.262345;1.144387;
59.428678;1.143376;
59.595479;1.142364;
59.762748;1.141351;
59.930486;1.140338;
60.098695;1.139324;
60.267376;1.138310;
60.436530;1.137295;
60.606160;1.136279;
60.776265;1.135263;
60.946848;1.134246;
61.117909;1.133229;
61.289451;1.132211;
61.461474;1.131192;
61.633980;1.130173;
61.806971;1.129153;
61.980446;1.128132;
62.154409;1.127111;
62.328860;1.126090;
62.503800;1.125067;
62.679232;1.124044;
62.855156;1.123021;
63.031574;1.121997;
63.208487;1.120972;
63.385896;1.119946;
63.563803;1.118921;
63.742210;1.117894;
63.921118;1.116867;
64.100527;1.115839;
64.280440;1.114810;
64.460858;1.113781;
64.641783;1.112752;
64.823215;1.111722;
65.005157;1.110691;
65.187609;1.109659;
65.370573;1.108627;
65.554051;1.107594;
65.738044;1.106561;
65.922553;1.105527;
66.107580;1.104493;
66.293127;1.103458;
66.479194;1.102422;
66.665783;1.101386;
66.852896;1.100349;
67.040535;1.099311;
67.228700;1.098273;
67.417393;1.097234;
67.606615;1.096195;
67.796369;1.095155;
67.986656;1.094115;
68.177476;1.093074;
68.368832;1.092032;
68.560725;1.090989;
68.753157;1.089947;
68.946129;1.088903;
69.139642;1.087859;
69.333699;1.086814;
69.528300;1.085769;
69.723448;1.084723;
69.919143;1.083676;
70.115387;1.082629;
70.312183;1.081582;
70.509530;1.080533;
70.707432;1.079484;
70.905889;1.078435;
71.104903;1.077385;
71.304475;1.076334;
71.504608;1.075283;
71.705303;1.074231;
71.906560;1.073179;
72.108383;1.072126;
72.310772;1.071072;
72.513729;1.070018;
72.717256;1.068963;
72.921354;1.067908;
73.126025;1.066852;
73.331270;1.065795;
73.537091;1.064738;
73.743491;1.063681;
73.950469;1.062622;
74.158028;1.061563;
74.366170;1.060504;
74.574896;1.059444;
74.784208;1.058384;
74.994108;1.057322;
75.204596;1.056261;
75.415675;1.055198;
75.627347;1.054136;
75.839613;1.053072;
76.052475;1.052008;
76.265934;1.050944;
76.479992;1.049879;
76.694651;1.048813;
76.909913;1.047747;
77.125778;1.046680;
77.342250;1.045613;
77.559329;1.044545;
77.777017;1.043476;
77.995317;1.042407;
78.214229;1.041338;
78.433755;1.040268;
78.653898;1.039197;
78.874659;1.038126;
79.096039;1.037054;
79.318041;1.035982;
79.540665;1.034909;
79.763915;1.033836;
79.987791;1.032762;
80.212295;1.031687;
80.437430;1.030613;
80.663196;1.029537;
80.889597;1.028461;
81.116632;1.027385;
81.344305;1.026307;
81.572617;1.025230;
81.801570;1.024152;
82.031165;1.023073;
82.261405;1.021994;
82.492290;1.020914;
82.723824;1.019834;
82.956008;1.018754;
83.188844;1.017672;
83.422333;1.016591;
83.656477;1.015509;
83.891278;1.014426;
84.126739;1.013343;
84.362860;1.012259;
84.599645;1.011175;
84.837093;1.010090;
85.075208;1.009005;
85.313992;1.007920;
85.553446;1.006834;
85.793571;1.005747;
86.034371;1.004660;
86.275847;1.003573;
86.518000;1.002485;
86.760833;1.001396;
87.004348;1.000307;
87.248546;0.999218;
87.493429;0.998128;
87.739000;0.997038;
87.985260;0.995947;
88.232212;0.994856;
88.479856;0.993765;
88.728195;0.992673;
88.977232;0.991580;
89.226967;0.990487;
89.477404;0.989394;
89.728543;0.988300;
89.980387;0.987206;
90.232938;0.986112;
90.486198;0.985017;
90.740169;0.983921;
90.994852;0.982826;
91.250251;0.981729;
91.506366;0.980633;
91.763200;0.979536;
92.020755;0.978439;
92.279033;0.977341;
92.538035;0.976243;
92.797765;0.975144;
93.058224;0.974046;
93.319414;0.972946;
93.581336;0.971847;
93.843994;0.970747;
94.107389;0.969647;
94.371524;0.968546;
94.636400;0.967445;
94.902019;0.966344;
95.168384;0.965242;
95.435496;0.964140;
95.703358;0.963038;
95.971972;0.961936;
96.241340;0.960833;
96.511464;0.959729;
96.782346;0.958626;
97.053988;0.957522;
97.326393;0.956418;
97.599562;0.955314;
97.873498;0.954209;
98.148203;0.953105;
98.423679;0.951999;
98.699928;0.950894;
98.976953;0.949788;
99.254755;0.948683;
99.533336;0.947576;
99.812700;0.946470;
100.092848;0.945364;
100.373782;0.944257;
100.655504;0.943150;
100.938018;0.942043;
101.221324;0.940935;
101.505425;0.939828;
101.790324;0.938720;
102.076022;0.937612;
102.362523;0.936504;
102.649827;0.935396;
102.937938;0.934287;
103.226857;0.933179;
103.516588;0.932070;
103.807131;0.930961;
104.098490;0.929852;
104.390667;0.928743;
104.683664;0.927634;
104.977483;0.926525;
105.272127;0.925416;
105.567598;0.924306;
105.863898;0.923197;
106.161030;0.922087;
106.458996;0.920977;
106.757798;0.919868;
107.057439;0.918758;
107.357920;0.917648;
107.659246;0.916539;
107.961416;0.915429;
108.264436;0.914319;
108.568305;0.913210;
108.873027;0.912100;
109.178605;0.910990;
109.485040;0.909881;
109.792336;0.908771;
110.100494;0.907661;
110.409517;0.906552;
110.719407;0.905443;
111.030167;0.904333;
111.341799;0.903224;
111.654306;0.902115;
111.967690;0.901006;
112.281953;0.899897;
112.597099;0.898789;
112.913129;0.897680;
113.230046;0.896572;
113.547853;0.895464;
113.866552;0.894356;
114.186145;0.893248;
114.506635;0.892141;
114.828025;0.891033;
115.150316;0.889926;
115.473513;0.888820;
115.797616;0.887713;
116.122629;0.886607;
116.448555;0.885501;
116.775395;0.884395;
117.103152;0.883290;
117.431830;0.882185;
117.761430;0.881080;
118.091955;0.879976;
118.423407;0.878872;
118.755791;0.877769;
119.089106;0.876666;
119.423358;0.875563;
119.758548;0.874461;
120.094678;0.873359;
120.431752;0.872258;
120.769772;0.871157;
121.108740;0.870057;
121.448661;0.868957;
121.789535;0.867858;
122.131366;0.866759;
122.474156;0.865661;
122.817908;0.864563;
123.162625;0.863466;
123.508310;0.862370;
123.854965;0.861274;
124.202593;0.860179;
124.551197;0.859085;
124.900779;0.857991;
125.251342;0.856898;
125.602890;0.855806;
125.955424;0.854714;
126.308947;0.853623;
126.663463;0.852533;
127.018973;0.851444;
127.375482;0.850355;
127.732991;0.849268;
128.091504;0.848181;
128.451022;0.847095;
128.811550;0.846010;
129.173090;0.844926;
129.535645;0.843843;
129.899217;0.842761;
130.263809;0.841679;
130.629425;0.840599;
130.996067;0.839520;
131.363738;0.838442;
131.732442;0.837365;
132.102180;0.836288;
132.472955;0.835214;
132.844772;0.834140;
133.217632;0.833067;
133.591538;0.831995;
133.966494;0.830925;
134.342502;0.829856;
134.719566;0.828788;
135.097688;0.827722;
135.476871;0.826656;
135.857119;0.825592;
136.238434;0.824530;
136.620819;0.823468;
137.004277;0.822408;
137.388812;0.821350;
137.774426;0.820293;
138.161122;0.819237;
138.548904;0.818183;
138.937774;0.817130;
139.327735;0.816079;
139.718791;0.815030;
140.110944;0.813982;
140.504199;0.812936;
140.898557;0.811891;
141.294021;0.810848;
141.690596;0.809807;
142.088284;0.808767;
142.487088;0.807730;
142.887012;0.806694;
143.288057;0.805660;
143.690229;0.804627;
144.093529;0.803597;
144.497961;0.802569;
144.903529;0.801542;
145.310235;0.800518;
145.718082;0.799495;
146.127074;0.798475;
146.537214;0.797456;
146.948505;0.796440;
147.360950;0.795426;
147.774553;0.794413;
148.189317;0.793404;
148.605245;0.792396;
149.022341;0.791391;
149.440607;0.790388;
149.860047;0.789387;
150.280664;0.788388;
150.702462;0.787392;
151.125444;0.786399;
151.549613;0.785408;
151.974972;0.784419;
152.401526;0.783433;
152.829276;0.782450;
153.258227;0.781469;
153.688382;0.780490;
154.119745;0.779515;
154.552318;0.778542;
154.986105;0.777572;
155.421110;0.776604;
155.857336;0.775640;
156.294786;0.774678;
156.733464;0.773720;
157.173373;0.772764;
157.614517;0.771811;
158.056899;0.770861;
158.500523;0.769914;
158.945392;0.768970;
159.391509;0.768030;
159.838879;0.767092;
160.287504;0.766158;
160.737389;0.765227;
161.188536;0.764299;
161.640949;0.763375;
162.094632;0.762454;
162.549589;0.761536;
163.005822;0.760622;
163.463336;0.759711;
163.922135;0.758804;
164.382221;0.757901;
164.843598;0.757001;
165.306270;0.756104;
165.770241;0.755212;
166.235514;0.754323;
166.702093;0.753437;
167.169981;0.752556;
167.639183;0.751679;
168.109702;0.750805;
168.581541;0.749935;
169.054704;0.749070;
169.529196;0.748208;
170.005019;0.747350;
170.482178;0.746497;
170.960677;0.745648;
171.440518;0.744802;
171.921706;0.743962;
172.404244;0.743125;
172.888137;0.742293;
173.373388;0.741465;
173.860001;0.740641;
174.347980;0.739822;
174.837329;0.739008;
175.328051;0.738198;
175.820150;0.737392;
176.313630;0.736592;
176.808496;0.735795;
177.304750;0.735004;
177.802398;0.734217;
178.301442;0.733436;
178.801886;0.732659;
179.303736;0.731887;
179.806994;0.731120;
180.311664;0.730357;
180.817751;0.729600;
181.325259;0.728848;
181.834190;0.728101;
182.344551;0.727360;
182.856343;0.726623;
183.369573;0.725892;
183.884242;0.725166;
184.400356;0.724445;
184.917919;0.723730;
185.436935;0.723020;
185.957407;0.722315;
186.479340;0.721616;
187.002738;0.720923;
187.527605;0.720235;
188.053945;0.719552;
188.581763;0.718876;
189.111061;0.718205;
189.641846;0.717540;
190.174120;0.716881;
190.707888;0.716227;
191.243155;0.715579;
191.779924;0.714938;
192.318199;0.714302;
192.857985;0.713672;
193.399286;0.713048;
193.942107;0.712430;
194.486450;0.711819;
195.032322;0.711213;
195.579726;0.710614;
196.128667;0.710021;
196.679148;0.709434;
197.231174;0.708853;
197.784749;0.708279;
198.339878;0.707711;
198.896566;0.707150;
199.454816;0.706595;
200.014632;0.706046;
200.576020;0.705504;
201.138984;0.704969;
201.703528;0.704440;
202.269656;0.703917;
202.837373;0.703402;
203.406684;0.702892;
203.977592;0.702390;
204.550103;0.701894;
205.124221;0.701405;
205.699950;0.700923;
206.277295;0.700448;
206.856261;0.699979;
207.436851;0.699518;
208.019071;0.699063;
208.602926;0.698615;
209.188419;0.698174;
209.775555;0.697741;
210.364339;0.697314;
210.954776;0.696894;
211.546870;0.696481;
212.140626;0.696075;
212.736048;0.695677;
213.333142;0.695285;
213.931911;0.694901;
214.532361;0.694523;
215.134497;0.694153;
215.738322;0.693790;
216.343842;0.693435;
216.951062;0.693086;
217.559986;0.692745;
218.170619;0.692411;
218.782966;0.692084;
219.397032;0.691765;
220.012821;0.691453;
220.630338;0.691148;
221.249589;0.690851;
221.870578;0.690560;
222.493310;0.690278;
223.117789;0.690002;
223.744022;0.689734;
224.372012;0.689473;
225.001764;0.689220;
225.633284;0.688974;
226.266577;0.688736;
226.901647;0.688505;
227.538500;0.688281;
228.177140;0.688065;
228.817573;0.687856;
229.459803;0.687654;
230.103835;0.687460;
230.749676;0.687274;
231.397329;0.687095;
232.046800;0.686923;
232.698093;0.686758;
233.351215;0.686601;
234.006170;0.686452;
234.662963;0.686310;
235.321600;0.686175;
235.982085;0.686048;
236.644424;0.685928;
237.308622;0.685815;
237.974684;0.685710;
238.642616;0.685612;
239.312422;0.685522;
239.984109;0.685439;
240.657680;0.685363;
241.333143;0.685295;
242.010501;0.685234;
242.689760;0.685180;
243.370925;0.685134;
244.054003;0.685094;
244.738998;0.685062;
245.425915;0.685038;
246.114760;0.685020;
246.805539;0.685010;
247.498257;0.685007;
248.192919;0.685011;
248.889530;0.685023;
249.588097;0.685041;
250.288624;0.685067;
250.991118;0.685099;
251.695583;0.685139;
252.402026;0.685186;
253.110452;0.685240;
253.820865;0.685301;
254.533273;0.685369;
255.247680;0.685444;
255.964093;0.685525;
256.682516;0.685614;
257.402956;0.685710;
258.125417;0.685812;
258.849907;0.685922;
259.576430;0.686038;
260.304992;0.686161;
261.035599;0.686290;
261.768256;0.686427;
262.502970;0.686570;
263.239746;0.686720;
263.978590;0.686876;
264.719508;0.687039;
265.462505;0.687209;
266.207588;0.687385;
266.954762;0.687568;
267.704033;0.687757;
268.455407;0.687953;
269.208890;0.688155;
269.964488;0.688363;
270.722207;0.688578;
271.482052;0.688799;
272.244030;0.689027;
273.008147;0.689260;
273.774408;0.689500;
274.542820;0.689746;
275.313389;0.689999;
276.086120;0.690257;
276.861021;0.690521;
277.638096;0.690792;
278.417353;0.691068;
279.198796;0.691351;
279.982433;0.691639;
280.768269;0.691933;
281.556311;0.692233;
282.346565;0.692539;
283.139037;0.692851;
283.933733;0.693168;
284.730659;0.693491;
285.529823;0.693820;
286.331229;0.694154;
287.134885;0.694494;
287.940796;0.694840;
288.748969;0.695191;
289.559411;0.695547;
290.372127;0.695909;
291.187125;0.696277;
292.004410;0.696649;
292.823988;0.697027;
293.645868;0.697410;
294.470054;0.697799;
295.296553;0.698193;
296.125372;0.698591;
296.956517;0.698995;
297.789995;0.699404;
298.625812;0.699818;
299.463976;0.700237;
300.304492;0.700661;
301.147366;0.701090;
301.992607;0.701524;
302.840220;0.701963;
303.690212;0.702406;
304.542590;0.702854;
305.397360;0.703307;
306.254529;0.703765;
307.114104;0.704227;
307.976092;0.704694;
308.840499;0.705165;
309.707332;0.705641;
310.576599;0.706121;
311.448305;0.706606;
312.322457;0.707095;
313.199063;0.707589;
314.078130;0.708087;
314.959664;0.708589;
315.843672;0.709095;
316.730161;0.709606;
317.619139;0.710121;
318.510611;0.710639;
319.404586;0.711162;
320.301070;0.711689;
321.200070;0.712221;
322.101593;0.712756;
323.005647;0.713295;
323.912238;0.713837;
324.821373;0.714384;
325.733060;0.714935;
326.647307;0.715489;
327.564119;0.716047;
328.483504;0.716609;
329.405470;0.717175;
330.330024;0.717744;
331.257172;0.718317;
332.186923;0.718893;
333.119284;0.719473;
334.054261;0.720056;
334.991863;0.720643;
335.932096;0.721233;
336.874968;0.721827;
337.820487;0.722424;
338.768659;0.723024;
339.719492;0.723628;
340.672995;0.724235;
341.629173;0.724845;
342.588036;0.725458;
343.549589;0.726074;
344.513842;0.726694;
345.480801;0.727317;
346.450473;0.727942;
347.422868;0.728571;
348.397992;0.729203;
349.375852;0.729837;
350.356457;0.730475;
351.339815;0.731115;
352.325932;0.731759;
353.314818;0.732405;
354.306478;0.733054;
355.300923;0.733705;
356.298158;0.734360;
357.298192;0.735017;
358.301033;0.735677;
359.306689;0.736339;
360.315168;0.737004;
361.326476;0.737672;
362.340624;0.738342;
363.357618;0.739015;
364.377466;0.739690;
365.400177;0.740368;
366.425758;0.741048;
367.454218;0.741730;
368.485564;0.742415;
369.519805;0.743102;
370.556949;0.743792;
371.597004;0.744484;
372.639978;0.745178;
373.685880;0.745874;
374.734717;0.746572;
375.786497;0.747273;
376.841230;0.747976;
377.898923;0.748681;
378.959585;0.749388;
380.023224;0.750097;
381.089848;0.750808;
382.159466;0.751522;
383.232086;0.752237;
384.307717;0.752954;
385.386367;0.753673;
386.468044;0.754395;
387.552757;0.755118;
388.640515;0.755842;
389.731325;0.756569;
390.825198;0.757298;
391.922140;0.758028;
393.022161;0.758760;
394.125270;0.759494;
395.231475;0.760230;
396.340785;0.760967;
397.453208;0.761706;
398.568754;0.762447;
399.687430;0.763189;
400.809247;0.763933;
401.934212;0.764679;
403.062334;0.765426;
404.193623;0.766175;
405.328087;0.766925;
406.465736;0.767677;
407.606577;0.768430;
408.750620;0.769185;
409.897875;0.769941;
411.048349;0.770699;
412.202053;0.771458;
413.358994;0.772218;
414.519183;0.772980;
415.682628;0.773743;
416.849339;0.774508;
418.019325;0.775274;
419.192594;0.776041;
420.369156;0.776809;
421.549021;0.777579;
422.732197;0.778350;
423.918694;0.779122;
425.108521;0.779895;
426.301687;0.780670;
427.498203;0.781446;
428.698077;0.782223;
429.901318;0.783001;
431.107937;0.783780;
432.317943;0.784560;
433.531344;0.785341;
434.748152;0.786124;
435.968374;0.786907;
437.192022;0.787692;
438.419103;0.788477;
439.649629;0.789264;
440.883609;0.790051;
442.121052;0.790840;
443.361969;0.791629;
444.606368;0.792419;
445.854260;0.793211;
447.105654;0.794003;
448.360561;0.794796;
449.618990;0.795590;
450.880951;0.796385;
452.146454;0.797180;
453.415509;0.797977;
454.688126;0.798774;
455.964315;0.799572;
457.244085;0.800371;
458.527448;0.801171;
459.814413;0.801972;
461.104990;0.802773;
462.399189;0.803575;
463.697021;0.804378;
464.998495;0.805181;
466.303622;0.805985;
467.612413;0.806790;
468.924876;0.807596;
470.241024;0.808402;
471.560866;0.809209;
472.884412;0.810016;
474.211673;0.810824;
475.542659;0.811633;
476.877381;0.812443;
478.215849;0.813252;
479.558074;0.814063;
480.904066;0.814874;
482.253836;0.815686;
483.607394;0.816498;
484.964751;0.817311;
486.325919;0.818124;
487.690906;0.818938;
489.059725;0.819752;
490.432386;0.820567;
491.808899;0.821382;
493.189276;0.822198;
494.573527;0.823014;
495.961664;0.823831;
497.353697;0.824648;
498.749636;0.825465;
500.149494;0.826283;
501.553281;0.827102;
502.961008;0.827920;
504.372686;0.828740;
505.788326;0.829559;
507.207939;0.830379;
508.631537;0.831199;
510.059131;0.832020;
511.490731;0.832841;
512.926350;0.833662;
514.365998;0.834484;
515.809686;0.835306;
517.257427;0.836128;
518.709231;0.836951;
520.165110;0.837774;
521.625076;0.838597;
523.089139;0.839420;
524.557311;0.840244;
526.029604;0.841068;
527.506029;0.841892;
528.986598;0.842717;
530.471323;0.843541;
531.960215;0.844366;
533.453286;0.845192;
534.950548;0.846017;
536.452012;0.846843;
537.957690;0.847668;
539.467595;0.848494;
540.981737;0.849321;
542.500129;0.850147;
544.022783;0.850974;
545.549710;0.851800;
547.080923;0.852627;
548.616434;0.853454;
550.156255;0.854281;
551.700397;0.855109;
553.248873;0.855936;
554.801696;0.856764;
556.358877;0.857591;
557.920429;0.858419;
559.486363;0.859247;
561.056693;0.860075;
562.631430;0.860903;
564.210587;0.861731;
565.794176;0.862560;
567.382210;0.863388;
568.974701;0.864216;
570.571662;0.865045;
572.173105;0.865873;
573.779043;0.866702;
575.389488;0.867531;
577.004453;0.868359;
578.623952;0.869188;
580.247995;0.870017;
581.876597;0.870846;
583.509770;0.871674;
585.147527;0.872503;
586.789881;0.873332;
588.436844;0.874161;
590.088430;0.874990;
591.744652;0.875819;
593.405522;0.876647;
