Strike;IV;
33.307605;1.319455;
33.401091;1.318327;
33.494839;1.317197;
33.588850;1.316067;
33.683125;1.314937;
33.777665;1.313805;
33.872470;1.312672;
33.967541;1.311539;
34.062878;1.310405;
34.158484;1.309270;
34.254358;1.308134;
34.350501;1.306998;
34.446913;1.305860;
34.543597;1.304722;
34.640551;1.303583;
34.737778;1.302443;
34.835278;1.301303;
34.933051;1.300161;
35.031099;1.299019;
35.129422;1.297876;
35.228021;1.296732;
35.326897;1.295587;
35.426050;1.294441;
35.525481;1.293295;
35.625192;1.292147;
35.725182;1.290999;
35.825453;1.289850;
35.926006;1.288700;
36.026841;1.287550;
36.127959;1.286398;
36.229360;1.285246;
36.331046;1.284093;
36.433018;1.282939;
36.535276;1.281784;
36.637821;1.280628;
36.740653;1.279471;
36.843774;1.278314;
36.947185;1.277156;
37.050886;1.275997;
37.154878;1.274837;
37.259162;1.273676;
37.363738;1.272514;
37.468609;1.271351;
37.573773;1.270188;
37.679233;1.269024;
37.784988;1.267859;
37.891041;1.266693;
37.997391;1.265526;
38.104039;1.264358;
38.210987;1.263189;
38.318235;1.262020;
38.425784;1.260849;
38.533635;1.259678;
38.641789;1.258506;
38.750246;1.257333;
38.859008;1.256159;
38.968075;1.254985;
39.077448;1.253809;
39.187128;1.252633;
39.297116;1.251455;
39.407412;1.250277;
39.518018;1.249098;
39.628935;1.247918;
39.740163;1.246737;
39.851703;1.245555;
39.963556;1.244373;
40.075723;1.243189;
40.188205;1.242005;
40.301003;1.240819;
40.414117;1.239633;
40.527549;1.238446;
40.641299;1.237258;
40.755368;1.236069;
40.869757;1.234879;
40.984468;1.233688;
41.099501;1.232497;
41.214856;1.231304;
41.330535;1.230111;
41.446539;1.228917;
41.562868;1.227721;
41.679524;1.226525;
41.796508;1.225328;
41.913819;1.224130;
42.031460;1.222931;
42.149431;1.221732;
42.267734;1.220531;
42.386368;1.219329;
42.505335;1.218127;
42.624636;1.216923;
42.744272;1.215719;
42.864244;1.214514;
42.984553;1.213308;
43.105199;1.212101;
43.226184;1.210893;
43.347508;1.209684;
43.469173;1.208474;
43.591180;1.207263;
43.713528;1.206051;
43.836221;1.204839;
43.959257;1.203625;
44.082639;1.202410;
44.206368;1.201195;
44.330443;1.199979;
44.454867;1.198761;
44.579640;1.197543;
44.704763;1.196324;
44.830238;1.195104;
44.956064;1.193883;
45.082244;1.192661;
45.208778;1.191438;
45.335667;1.190214;
45.462912;1.188989;
45.590514;1.187763;
45.718475;1.186537;
45.846794;1.185309;
45.975474;1.184080;
46.104515;1.182851;
46.233918;1.181620;
46.363684;1.180389;
46.493815;1.179156;
46.624311;1.177923;
46.755173;1.176689;
46.886402;1.175454;
47.018000;1.174217;
47.149967;1.172980;
47.282304;1.171742;
47.415013;1.170503;
47.548095;1.169263;
47.681549;1.168022;
47.815379;1.166780;
47.949584;1.165537;
48.084166;1.164293;
48.219125;1.163048;
48.354463;1.161802;
48.490182;1.160556;
48.626281;1.159308;
48.762762;1.158059;
48.899626;1.156810;
49.036874;1.155559;
49.174507;1.154307;
49.312527;1.153055;
49.450934;1.151801;
49.589730;1.150547;
49.728915;1.149291;
49.868491;1.148035;
50.008459;1.146777;
50.148819;1.145519;
50.289574;1.144259;
50.430723;1.142999;
50.572269;1.141737;
50.714212;1.140475;
50.856553;1.139212;
50.999294;1.137947;
